date,returns
11-21-2016,0.029394507008480134
11-18-2016,0.028840254541084118
11-17-2016,-0.5303916066550192
11-16-2016,0.8236917901434114
11-15-2016,-0.3695321496003244
11-14-2016,0.49881844187796015
11-11-2016,-0.4023948140232718
11-10-2016,-0.034503980398524335
11-09-2016,1.4398418515835971
11-08-2016,-0.25509278255528256
11-07-2016,0.05587453927501436
11-04-2016,0.1449690973044491
11-03-2016,-0.049383078161645666
11-02-2016,-0.35353829838908635
11-01-2016,0.6588497588022255
10-31-2016,-0.3022124068404604
10-28-2016,0.09546937977773017
10-27-2016,-0.4773954312517095
10-26-2016,0.3741041829899954
10-25-2016,1.044676435243397
10-24-2016,0.014918854732735545
10-21-2016,-0.03867792824785382
10-20-2016,0.2042071329221845
10-19-2016,-0.1840425213894341
10-18-2016,0.039305231227261275
